timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x,表面温度_y,高频加速度RMS_y,高频加速度峭度_y,速度RMS_y,表面温度,高频加速度RMS,高频加速度峭度,速度RMS
2022/9/1 20:22,47,2.304456,2.851031,1.076983,32,0.06378543,2.491625,0.1807807,54,1.268776,2.853831,0.2002425
2022/9/1 20:27,47,2.457263,3.210189,0.9836013,32,0.0678483,2.554699,0.179034,54,1.321285,2.792381,0.2328643
2022/9/1 20:32,47,2.269319,2.870765,0.9984005,32,0.06672986,2.588005,0.1625795,54,1.281005,2.899812,0.2551688
2022/9/1 20:37,46,2.136295,2.668273,1.170472,32,0.06493196,2.457517,0.1630916,54,1.339315,2.835464,0.288027
2022/9/1 20:42,46,2.268484,2.804338,1.089818,31,0.07334483,2.454221,0.1354997,54,1.211945,2.883683,0.2425274
2022/9/1 20:47,46,2.244672,3.242259,1.110533,31,0.06771329,2.577552,0.1334768,54,1.348272,2.949787,0.6224496
2022/9/1 20:52,46,2.250021,2.739896,1.053704,31,0.0717172,2.678594,0.2143266,55,0.02896173,2.990069,0.0721112
2022/9/1 20:57,45,2.29147,2.893337,1.123367,31,0.06333909,2.285264,0.1377016,53,0.02801819,3.110703,0.09398967
2022/9/1 21:02,45,2.228816,2.924161,1.08278,31,0.06635426,2.262951,0.08952384,50,0.03057783,3.249609,0.08050766
2022/9/1 21:07,45,2.264846,2.806894,1.05004,31,0.06604519,2.264968,0.1309347,47,0.02977191,3.190625,0.1035142
2022/9/1 21:12,45,2.118662,3.022522,1.046753,31,0.06202735,2.255974,0.1480578,49,0.02682068,2.870578,0.0862751
2022/9/1 21:17,45,2.186181,3.00248,1.077297,31,0.06577551,2.265562,0.1590683,45,0.02781198,3.140972,0.06631453
2022/9/1 21:22,45,2.320971,2.793961,1.066023,30,0.06844573,2.150819,0.1545222,45,0.02788466,2.89989,0.0953334
2022/9/1 21:27,45,2.124007,2.845149,0.9134613,30,0.06170599,2.183072,0.09783353,42,0.03150413,3.055177,0.05741995
2022/9/1 21:32,45,2.26614,2.726448,1.083491,30,0.06550013,2.307856,0.1118135,43,0.02983666,2.916104,0.06710351
2022/9/1 21:37,45,2.240388,2.778147,1.077502,30,0.05988551,2.355734,0.1118716,43,0.0289083,2.881524,0.08875067
2022/9/1 21:42,45,2.301985,2.972157,1.026126,30,0.06019928,2.34729,0.1427141,45,0.03028739,3.018383,0.07717066
2022/9/1 21:47,45,2.399174,2.857918,1.070664,30,0.06237665,2.332426,0.07371541,43,0.02808405,3.09311,0.0823654
2022/9/1 21:52,45,2.392772,3.062267,1.128132,30,0.07300571,2.121156,0.1208442,43,0.02829682,2.965856,0.074357
2022/9/1 21:57,45,2.28171,2.944919,1.026972,30,0.06597503,2.418461,0.1644165,43,1.265843,2.983479,0.2573722
2022/9/1 22:02,45,2.194893,3.072427,0.9742999,30,0.06141378,2.629228,0.1335286,45,1.26019,2.766551,0.2366374
2022/9/1 22:12,45,2.497066,2.887153,1.117092,30,0.06350779,3.076271,0.2357188,46,1.177698,3.206255,0.2152411
2022/9/1 22:17,45,2.25073,3.049065,1.14342,30,0.07013555,2.887289,0.1698886,47,1.286296,2.868393,0.2357829
2022/9/1 22:22,45,2.201789,2.951821,1.036143,30,0.07140019,2.854525,0.1594602,48,1.213245,3.257328,0.2491993
2022/9/1 22:27,46,2.239353,3.165084,1.186431,30,0.06541333,2.765382,0.212532,48,1.264318,2.944762,0.2647471
2022/9/1 22:32,46,2.326442,2.70579,0.88397,30,0.05879441,2.442605,0.1542712,48,1.221479,3.034242,0.2438363
2022/9/1 22:37,46,2.323519,2.739272,0.9888933,30,0.06472199,2.521899,0.1444728,50,1.223091,2.658033,0.2065864
2022/9/1 22:42,46,2.320621,2.963255,1.153111,30,0.07050986,2.778112,0.1480979,50,1.217606,2.767552,0.2704151
2022/9/1 22:47,46,2.511424,2.861494,1.040294,30,0.06341486,2.531741,0.1537492,50,1.283667,3.004645,0.2544168
2022/9/1 22:52,46,2.431692,2.803198,1.066614,30,0.08002775,2.762236,0.1979217,51,1.453052,2.982879,0.7036595
2022/9/1 22:57,46,2.338327,3.178199,1.076292,30,0.07740317,2.513203,0.2674317,51,1.366898,2.711231,0.6154989
2022/9/1 23:02,46,2.185993,2.797839,1.013889,30,0.06799975,2.492325,0.1574275,51,1.490588,2.694807,0.5476443
2022/9/1 23:07,46,2.353476,3.024853,1.052457,30,0.07092912,2.72642,0.1254859,48,1.428849,3.0061,0.4757104
2022/9/1 23:12,46,2.304195,3.333821,1.043275,30,0.07447208,2.544806,0.2501,49,1.736748,3.006773,0.5390223
2022/9/1 23:17,46,2.398853,2.772099,1.021887,30,0.07636655,2.639044,0.162796,49,1.447615,2.651137,0.6478267
2022/9/1 23:22,46,2.176124,3.112442,1.04354,30,0.06541129,2.5951,0.1327637,48,1.414188,3.041338,0.5700836
