timestamp,表面温度,高频加速度RMS,高频加速度峭度,高频加速度有效值,速度有效值,速度RMS
2022-09-02 03:37:10,27.0,0.07293892,2.649359,,,0.2256684
2022-09-02 03:42:10,27.0,0.08323691,2.589373,,,0.2032015
2022-09-02 03:47:10,27.0,0.06220564,2.336313,,,0.1289901
2022-09-02 03:52:10,27.0,0.06393906,2.257987,,,0.1158995
2022-09-02 03:57:10,27.0,0.06746083,2.176685,,,0.09878606
2022-09-02 04:02:10,27.0,0.06389915,2.293615,,,0.1394744
2022-09-02 04:07:10,27.0,0.06596921,2.172335,,,0.1599184
2022-09-02 04:12:10,26.0,0.06266459,2.254397,,,0.1435211
2022-09-02 04:17:10,26.0,0.06154188,2.287014,,,0.1330329
2022-09-02 04:22:10,26.0,0.06386282,2.275747,,,0.1471198
2022-09-02 04:27:10,26.0,0.06637412,2.254776,,,0.1362406
2022-09-02 04:32:10,26.0,0.06521752,2.418694,,,0.1372358
2022-09-02 04:37:10,26.0,0.06375669,2.315986,,,0.111784
2022-09-02 04:42:10,26.0,0.06530193,2.292881,,,0.1115314
2022-09-02 04:47:10,26.0,0.06472354,2.126502,,,0.1226151
2022-09-02 04:52:10,26.0,0.06221116,2.427585,,,0.1539752
2022-09-02 04:57:10,26.0,0.06350764,2.218911,,,0.09066252
2022-09-02 05:02:10,25.0,0.06414782,2.216804,,,0.1531598
2022-09-02 05:07:10,25.0,0.06317262,2.300085,,,0.08930235
2022-09-02 05:12:10,25.0,0.06995955,2.184485,,,0.1089119
2022-09-02 05:17:10,25.0,0.06613848,2.248939,,,0.07873227
2022-09-02 05:22:10,25.0,0.07181489,2.407305,,,0.2008494
2022-09-02 05:27:10,25.0,0.06418622,2.350774,,,0.1779331
2022-09-02 05:32:10,25.0,0.07992877,2.438176,,,0.1571916
2022-09-02 05:37:10,25.0,0.06365131,2.578293,,,0.1936264
2022-09-02 05:42:10,25.0,0.06585354,2.605066,,,0.2344285
2022-09-02 05:47:10,25.0,0.0771087,2.421735,,,0.1890984
2022-09-02 05:52:10,25.0,0.06966531,2.658059,,,0.1511074
2022-09-02 05:57:10,25.0,0.0738793,2.518231,,,0.1607725
2022-09-02 06:02:10,25.0,0.07090162,2.511197,,,0.1893983
2022-09-02 06:07:10,25.0,0.06324594,2.16172,,,0.1348547
2022-09-02 06:12:10,25.0,0.06400455,2.199645,,,0.113848
2022-09-02 06:17:10,25.0,0.06458402,2.155339,,,0.077838
2022-09-02 06:22:10,25.0,0.06337929,2.321044,,,0.1094589
2022-09-02 06:27:10,25.0,0.06671806,2.271213,,,0.1494843
2022-09-02 06:32:10,24.0,0.06488967,2.371105,,,0.1662085
2022-09-02 06:37:10,24.0,0.06455875,2.313437,,,0.1066896
2022-09-02 06:42:10,24.0,0.06619522,2.38603,,,0.1368096
2022-09-02 06:47:10,24.0,0.06990038,2.589985,,,0.1590858
2022-09-02 06:52:10,24.0,0.07654089,2.587239,,,0.2379512
2022-09-02 06:57:10,24.0,0.06730086,2.600553,,,0.174442
2022-09-02 07:02:10,24.0,0.06484394,2.752695,,,0.1726682
2022-09-02 07:07:10,24.0,0.06596837,2.500342,,,0.1833846
2022-09-02 07:12:10,25.0,0.06600969,2.587033,,,0.2067629
2022-09-02 07:17:10,25.0,0.06816391,2.5887,,,0.2746529
2022-09-02 07:22:10,25.0,0.07041615,2.607022,,,0.2930394
2022-09-02 07:27:10,24.0,0.07502536,2.644087,,,0.1915412
2022-09-02 07:32:10,24.0,0.06383017,2.34978,,,0.1742785
2022-09-02 07:37:10,25.0,0.06388481,2.488182,,,0.169189
2022-09-02 07:42:10,25.0,0.0661686,2.524752,,,0.1639012
2022-09-02 07:47:10,25.0,0.0785843,2.682623,,,0.2532119
2022-09-02 07:52:10,25.0,0.06815083,2.481248,,,0.1461903
2022-09-02 07:57:10,25.0,0.06508658,2.379757,,,0.166475
2022-09-02 08:02:10,24.0,0.06209102,2.416817,,,0.09017932
2022-09-02 08:07:10,24.0,0.06364246,2.430104,,,0.1565359
2022-09-02 08:17:10,24.0,0.07412692,2.428564,,,0.1523605
2022-09-02 08:22:10,24.0,0.06614015,2.519267,,,0.2025287
2022-09-02 08:27:10,24.0,0.07070447,2.439574,,,0.1699665
2022-09-02 08:32:10,24.0,0.06274613,2.442464,,,0.1484777
2022-09-02 08:37:10,24.0,0.07056837,2.849241,,,0.1894126
2022-09-02 08:42:10,25.0,0.06073451,2.699433,,,0.1428467
2022-09-02 08:47:10,25.0,0.0598306,2.494954,,,0.1685676
2022-09-02 08:52:10,25.0,0.05987511,2.626577,,,0.2179894
2022-09-02 08:57:10,25.0,0.06739963,2.875435,,,0.1958067
2022-09-02 09:02:10,25.0,0.07658834,2.621923,,,0.1659412
2022-09-02 09:07:10,25.0,0.0594549,2.572295,,,0.2267285
2022-09-02 09:12:10,25.0,0.05740366,2.514725,,,0.1569508
2022-09-02 09:17:10,25.0,0.06248952,2.401904,,,0.2344381
2022-09-02 09:22:10,25.0,0.05912567,2.363231,,,0.1373916
2022-09-02 09:27:10,26.0,0.06942164,2.619212,,,0.2278141
2022-09-02 09:32:10,26.0,0.06228754,2.790956,,,0.233184
2022-09-02 09:37:10,26.0,0.05696724,2.514127,,,0.2443213
2022-09-02 09:42:10,26.0,0.08026263,2.602917,,,0.180241
2022-09-02 09:47:10,26.0,0.07254947,2.750745,,,0.196072
2022-09-02 09:52:10,26.0,0.06450318,2.576368,,,0.1878401
2022-09-02 09:57:10,26.0,0.06228811,2.645754,,,0.191853
2022-09-02 10:02:10,26.0,0.06451024,2.739782,,,0.1318191
2022-09-02 10:07:10,26.0,0.06770136,2.773646,,,0.1368219
2022-09-02 10:12:10,26.0,0.07227806,2.772831,,,0.153035
2022-09-02 10:17:10,27.0,0.05974898,2.583004,,,0.1654982
2022-09-02 10:22:10,27.0,0.08288992,2.647882,,,0.1490127
2022-09-02 10:27:10,27.0,0.06004906,2.688999,,,0.187634
2022-09-02 10:32:10,27.0,0.05777795,2.768526,,,0.168085
2022-09-02 10:37:10,27.0,0.07000288,2.725645,,,0.2185798
2022-09-02 10:42:10,27.0,0.06792256,2.667667,,,0.1342425
2022-09-02 10:47:10,27.0,0.06520966,2.491621,,,0.2300099
2022-09-02 10:52:10,27.0,0.06849996,2.485411,,,0.1733414
2022-09-02 10:57:10,27.0,0.06486023,2.57518,,,0.1178438
2022-09-02 11:02:10,27.0,0.06192507,2.772994,,,0.2282952
2022-09-02 11:07:10,27.0,0.05901909,2.541335,,,0.1657351
2022-09-02 11:12:10,27.0,0.07389864,2.720122,,,0.1338215
2022-09-02 11:17:10,27.0,0.07124323,2.648227,,,0.1594079
2022-09-02 11:22:10,28.0,0.06853564,2.922137,,,0.1623008
2022-09-02 11:27:10,28.0,0.06033198,2.721486,,,0.1787122
