timestamp,表面温度_x,高频加速度RMS_x,高频加速度峭度_x,速度RMS_x
2022/9/12 14:02,42,0.1093655,2.411248,0.2282734
2022/9/12 14:07,42,0.184265,1.855824,0.3489631
2022/9/12 14:12,42,0.1141898,3.789548,0.2900452
2022/9/12 14:17,42,0.05477259,2.835969,0.2969529
2022/9/12 14:22,42,0.07040641,2.859433,0.2706814
2022/9/12 14:27,42,0.1057901,2.517596,0.2573831
2022/9/12 14:32,42,0.06835962,2.553068,0.2892511
2022/9/12 14:37,42,0.08299024,2.708293,0.2916003
2022/9/12 14:42,41,0.1032193,2.868181,0.2599553
2022/9/12 14:47,41,0.1437515,1.986756,0.3262163
2022/9/12 14:52,41,0.07429366,2.765575,0.2579287
2022/9/12 14:57,41,0.108056,2.674266,0.2464952
2022/9/12 15:02,41,0.1315787,2.290873,0.2479032
2022/9/12 15:07,41,0.07526033,2.544767,0.2916968
2022/9/12 15:12,41,0.08945148,2.463505,0.2886552
2022/9/12 15:17,40,0.09466778,2.879507,0.3272708
2022/9/12 15:22,40,0.1133123,3.081214,0.3345273
2022/9/12 15:27,40,0.09058125,2.39286,0.3024322
2022/9/12 15:32,40,0.07929064,2.585821,0.1941046
2022/9/12 15:37,40,0.06316056,2.671759,0.3407018
2022/9/12 15:42,40,0.07516129,2.540636,0.2685521
2022/9/12 15:47,39,0.0832034,2.471859,0.2994722
2022/9/12 15:52,39,0.1197956,2.748118,0.2559815
2022/9/12 15:57,39,0.1065267,2.081392,0.2458809
2022/9/12 16:02,39,0.1372693,2.798394,0.2729368
2022/9/12 16:07,39,0.05686833,2.668405,0.2547714
2022/9/12 16:12,39,0.07765467,2.655555,0.2785932
2022/9/12 16:17,39,0.04682474,2.610116,0.2252979
2022/9/12 16:22,39,0.05146297,2.533394,0.1971975
2022/9/12 16:27,39,0.0509427,2.743271,0.2541646
2022/9/12 16:32,39,0.04322517,3.116462,0.2470994
2022/9/12 16:37,39,0.07418431,2.691465,0.3009472
2022/9/12 16:42,39,0.07330454,2.51485,0.2699393
2022/9/12 16:47,39,0.111602,2.520797,0.3258037
2022/9/12 16:52,39,0.04832,2.814903,0.3033629
2022/9/12 16:57,38,0.07069238,3.427031,0.2873678
2022/9/12 17:02,39,0.05733604,2.498289,0.279031
2022/9/12 17:07,39,0.0633142,2.657346,0.2315747
2022/9/12 17:12,38,0.07184402,2.864331,0.2613321
2022/9/12 17:17,38,0.08516458,2.829384,0.2670851
2022/9/12 17:22,38,0.05811907,2.649476,0.1780437
2022/9/12 17:27,38,0.09123909,2.941206,0.3043451
2022/9/12 17:32,38,0.04747093,2.882296,0.1845622
2022/9/12 17:37,38,0.05117242,2.883824,0.2033236
2022/9/12 17:42,38,0.07712457,2.897643,0.321407
2022/9/12 17:47,38,0.07248443,2.77537,0.3184959
2022/9/12 17:52,38,0.1040839,2.21611,0.2624304
2022/9/12 17:57,38,0.1000125,3.262976,0.2915815
2022/9/12 18:02,38,0.1296337,2.10557,0.2153506
2022/9/12 18:07,38,0.07986906,2.449295,0.2141418
2022/9/12 18:12,38,0.1296829,2.271155,0.2344946
2022/9/12 18:17,38,0.08412775,2.90684,0.2569881
2022/9/12 18:22,38,0.07258856,2.785974,0.3212676
2022/9/12 18:27,38,0.1094918,2.732177,0.3283404
2022/9/12 18:32,38,0.08349482,3.359573,0.3671362
2022/9/12 18:37,38,0.08700582,2.466829,0.341385
2022/9/12 18:42,38,0.08769605,2.703655,0.269307
2022/9/12 18:47,38,0.07899296,2.782801,0.3029281
2022/9/12 18:52,38,0.09180655,2.797548,0.2803963
2022/9/12 18:57,38,0.0829969,2.630498,0.2326628
2022/9/12 19:02,38,0.1197351,3.242218,0.3089223
2022/9/12 19:07,38,0.08234529,2.678693,0.2715029
2022/9/12 19:12,38,0.07684237,2.63535,0.2423102
2022/9/12 19:17,38,0.06072151,3.026781,0.2634919
2022/9/12 19:22,37,0.1154329,2.604624,0.3587598
2022/9/12 19:27,37,0.08966299,3.095248,0.2243018
2022/9/12 19:32,37,0.1157618,2.485064,0.2459179
2022/9/12 19:37,37,0.1079635,2.304764,0.2842467
2022/9/12 19:42,37,0.1146504,2.490799,0.3037242
2022/9/12 19:47,37,0.1223481,3.185704,0.3003601
2022/9/12 19:52,37,0.1058183,2.497615,0.2805448
2022/9/12 19:57,37,0.06056437,2.966709,0.2929667
2022/9/12 20:02,37,0.08485076,2.244376,0.2725409
2022/9/12 20:07,37,0.06968258,3.004078,0.2677599
2022/9/12 20:12,37,0.08460351,2.685435,0.2747695
2022/9/12 20:17,37,0.05970528,2.705398,0.3283249
2022/9/12 20:22,37,0.1065927,2.640018,0.3031651
2022/9/12 20:27,37,0.09091157,2.504936,0.2701866
2022/9/12 20:32,37,0.08691534,2.828087,0.3426616
2022/9/12 20:37,37,0.07067906,2.64851,0.2033613
2022/9/12 20:42,37,0.1235455,2.169237,0.2955032
2022/9/12 20:47,37,0.1126406,2.343509,0.3135975
2022/9/12 20:52,37,0.08062323,3.171601,0.3065815
2022/9/12 20:57,36,0.08147665,2.800267,0.2900868
2022/9/12 21:02,36,0.07508662,2.751906,0.2083133
2022/9/12 21:07,36,0.04670737,2.827795,0.2602362
2022/9/12 21:12,36,0.08141168,2.414577,0.2644541
2022/9/12 21:17,36,0.07969487,2.667859,0.2561023
2022/9/12 21:22,36,0.117326,2.414023,0.2035691
2022/9/12 21:27,36,0.08571342,2.629638,0.1924418
2022/9/12 21:32,36,0.09839241,2.795153,0.2512296
2022/9/12 21:37,36,0.1201821,2.017831,0.2271474
2022/9/12 21:42,36,0.08195616,3.344231,0.2150533
2022/9/12 21:47,36,0.08546774,3.116816,0.2066869
2022/9/12 21:52,35,0.07905745,2.419571,0.2151709
2022/9/12 21:57,35,0.07983761,2.383088,0.2214355
2022/9/12 22:02,35,0.06686972,2.491518,0.218013
2022/9/12 22:07,35,0.1139448,2.199995,0.2679342
2022/9/12 22:12,35,0.1192122,2.020797,0.205078
2022/9/12 22:17,35,0.07276993,3.058224,0.2139202
2022/9/12 22:22,35,0.08822681,2.299999,0.2936817
2022/9/12 22:27,35,0.06711388,2.584316,0.2011959
2022/9/12 22:32,35,0.06454337,2.667134,0.2715036
2022/9/12 22:37,35,0.07599387,2.592126,0.2682019
2022/9/12 22:42,35,0.05756223,2.821698,0.2060964
2022/9/12 22:47,35,0.08225195,2.419594,0.3053017
2022/9/12 22:52,35,0.07516447,2.834777,0.2549967
2022/9/12 22:57,34,0.06971621,2.880788,0.2072321
2022/9/12 23:02,34,0.0566259,2.811639,0.2520421
2022/9/12 23:07,34,0.0559161,2.627592,0.1789428
2022/9/12 23:12,34,0.05369454,2.839868,0.2709145
2022/9/12 23:17,34,0.06155121,2.849046,0.2671279
2022/9/12 23:22,34,0.07648622,3.144433,0.2100742
2022/9/12 23:27,34,0.06582005,2.990944,0.1828765
2022/9/12 23:32,34,0.1014376,2.577991,0.1837752
2022/9/12 23:37,34,0.06916773,3.073761,0.2287406
2022/9/12 23:42,34,0.08763202,2.660833,0.1808051
2022/9/12 23:47,34,0.1302383,2.318045,0.2902842
2022/9/12 23:52,34,0.08593439,2.703611,0.2145617
2022/9/12 23:57,34,0.09286808,2.503887,0.2365235
2022/9/13 0:02,34,0.101145,2.50006,0.246592
2022/9/13 0:07,34,0.06118281,2.991384,0.2230172
2022/9/13 0:12,33,0.09401209,3.176553,0.196474
2022/9/13 0:17,33,0.08319433,3.237524,0.2327231
2022/9/13 0:22,33,0.0676574,2.849551,0.163801
2022/9/13 0:27,33,0.07369389,2.970047,0.2525405
2022/9/13 0:32,33,0.1099597,2.561191,0.192074
2022/9/13 0:37,33,0.06748895,2.646473,0.1859978
2022/9/13 0:42,33,0.07301719,2.634101,0.2573351
2022/9/13 0:47,33,0.06961863,2.835308,0.2309456
2022/9/13 0:52,33,0.06504977,2.72068,0.250234
2022/9/13 0:57,33,0.06169841,2.531258,0.2060128
2022/9/13 1:02,33,0.07653547,2.397108,0.2440497
2022/9/13 1:07,33,0.06420116,3.907933,0.3092939
2022/9/13 1:12,33,0.05061187,2.80489,0.2799745
2022/9/13 1:17,33,0.06269205,2.97265,0.2412955
2022/9/13 1:22,33,0.09750333,2.542067,0.2276736
2022/9/13 1:27,33,0.1338423,2.114355,0.196524
2022/9/13 1:32,33,0.07952628,2.630538,0.2228
2022/9/13 1:37,32,0.06658977,2.902505,0.2418182
2022/9/13 1:42,32,0.06314991,2.873373,0.2010521
2022/9/13 1:47,32,0.05998044,2.837901,0.1683154
2022/9/13 1:52,32,0.06999569,2.847388,0.2280784
2022/9/13 1:57,32,0.06106517,3.308378,0.2186982
2022/9/13 2:02,32,0.07318252,3.249644,0.2576583
2022/9/13 2:07,32,0.07592707,2.981158,0.2536536
2022/9/13 2:12,32,0.06105944,2.736831,0.2984981
2022/9/13 2:17,32,0.06296904,2.774402,0.2345293
2022/9/13 2:22,32,0.06998023,2.721756,0.2748707
2022/9/13 2:27,32,0.0883003,3.17528,0.2577865
2022/9/13 2:32,32,0.09979907,2.457996,0.2748536
2022/9/13 2:37,32,0.07382715,2.790815,0.2266852
2022/9/13 2:42,32,0.08626413,2.500112,0.2265781
2022/9/13 2:47,32,0.08109906,3.018457,0.3069468
2022/9/13 2:52,32,0.0850189,3.369357,0.2797769
2022/9/13 2:57,32,0.08056522,2.69027,0.2231962
2022/9/13 3:02,32,0.06579753,3.109682,0.2741479
2022/9/13 3:07,32,0.0781006,2.804655,0.3152742
2022/9/13 3:12,32,0.09130492,2.617863,0.3337317
2022/9/13 3:17,32,0.07416475,2.885977,0.250451
2022/9/13 3:22,32,0.09562019,2.315103,0.2825655
2022/9/13 3:27,31,0.06682079,2.851614,0.2819667
2022/9/13 3:32,31,0.08062641,2.474314,0.3501755
2022/9/13 3:37,31,0.06702347,2.77181,0.2233357
2022/9/13 3:42,31,0.0664468,2.738705,0.2290254
2022/9/13 3:47,31,0.08094013,2.656984,0.2379355
2022/9/13 3:52,31,0.07434653,2.64827,0.3015717
2022/9/13 3:57,31,0.1291817,2.516735,0.3119069
2022/9/13 4:02,31,0.05800008,2.747532,0.3091224
2022/9/13 4:07,31,0.09604993,2.433754,0.3089376
2022/9/13 4:12,31,0.1185965,2.150768,0.3090686
2022/9/13 4:17,31,0.06121933,2.893429,0.3560381
2022/9/13 4:22,31,0.06067434,3.160508,0.2535448
2022/9/13 4:27,31,0.06578692,2.839545,0.2753032
2022/9/13 4:32,31,0.08862296,2.902577,0.2131665
2022/9/13 4:37,31,0.1037895,1.994578,0.2856412
2022/9/13 4:42,31,0.0850096,2.559786,0.2988338
2022/9/13 4:47,31,0.1031193,2.54673,0.3512025
2022/9/13 4:52,30,0.06504666,2.622553,0.2021285
2022/9/13 4:57,30,0.1050351,2.175335,0.2478036
